date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:17	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:16%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:18	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:16%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:18	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:17%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:18	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:17%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:19	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:18%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/fontawesome-webfont-912ec66d7572ff821749319396470bde.svg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:19	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:18%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/ajax-loader-c5cd7f5300576ab4c88202b42f6ded62.gif	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:19	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:18%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:19	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:19%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot?	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475d41d.eot	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:19%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:19%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:19%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:21	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:20%20GMT	http://ecopak-8q1k-staging.b12sites.com/window.location	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/window.location	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:21	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:20%20GMT	http://ecopak-8q1k-staging.b12sites.com/	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/index-2.html	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:23	1048597/1048597	---M--	200	added ('OK')	image/png	etag:%22698c57a12cd54cb5f9ea0d73851b5775%22	https://cdn.b12.io/client_media/5d86N7Kk/91575b14-5768-11f0-9eb4-0242ac110002-png-hero_image.png	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/91575b14-5768-11f0-9eb4-0242ac110002-png-hero_image.png	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:23	258872/258872	---M--	200	added ('OK')	image/jpeg	etag:%22fefc836c1b48067ad6686073435fe93f%22	https://cdn.b12.io/client_media/5d86N7Kk/92c538e4-5769-11f0-b5f5-0242ac110002-jpeg-hero_image.jpeg	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/92c538e4-5769-11f0-b5f5-0242ac110002-jpeg-hero_image.jpg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:24	203459/203459	---M--	200	added ('OK')	image/jpeg	etag:%223e3df582707ca400f28b7824f5d2779e%22	https://cdn.b12.io/client_media/5d86N7Kk/93186456-5769-11f0-b5f5-0242ac110002-jpeg-regular_image.jpeg	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/93186456-5769-11f0-b5f5-0242ac110002-jpeg-regular_image.jpg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:24	258872/258872	---M--	200	added ('OK')	image/jpeg	etag:%22fefc836c1b48067ad6686073435fe93f%22	https://cdn.b12.io/client_media/5d86N7Kk/d45b8dee-5769-11f0-8f6f-0242ac110002-jpeg-hero_image.jpeg	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/d45b8dee-5769-11f0-8f6f-0242ac110002-jpeg-hero_image.jpg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:25	243425/243425	---M--	200	added ('OK')	image/png	etag:%22ee396f79070c56a6ba919aa2f88a749a%22	https://cdn.b12.io/client_media/5d86N7Kk/148e2de0-576a-11f0-add1-0242ac110002-png-hero_image.png	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/148e2de0-576a-11f0-add1-0242ac110002-png-hero_image.png	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:25%20GMT	http://ecopak-8q1k-staging.b12sites.com/leaf-plates	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/leaf-plates	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:27	98913/98913	---M--	200	added ('OK')	image/jpeg	etag:%22405c764ee768c4d1b23e0de085bec5ac%22	https://cdn.b12.io/client_media/5d86N7Kk/748bf22c-576a-11f0-b33f-0242ac110002-jpg-hero_image.jpeg	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/748bf22c-576a-11f0-b33f-0242ac110002-jpg-hero_image.jpg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:27	97556/97556	---M--	200	added ('OK')	image/jpeg	etag:%22318a6c457a1a3498271667d06c03861c%22	https://cdn.b12.io/client_media/5d86N7Kk/86884dfc-5767-11f0-a60e-0242ac110002-jpg-hero_image.jpeg	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/86884dfc-5767-11f0-a60e-0242ac110002-jpg-hero_image.jpg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:27%20GMT	http://ecopak-8q1k-staging.b12sites.com/leaf-bowls	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/leaf-bowls	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:29	97556/97556	---M--	200	added ('OK')	image/jpeg	etag:%22318a6c457a1a3498271667d06c03861c%22	https://cdn.b12.io/client_media/5d86N7Kk/869e9468-5767-11f0-a60e-0242ac110002-jpg-regular_image.jpeg	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/869e9468-5767-11f0-a60e-0242ac110002-jpg-regular_image.jpg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:29	90227/90227	---M--	200	added ('OK')	image/jpeg	etag:%22273aa9d0ba44e6cddb0bfef60ab5f281%22	https://cdn.b12.io/client_media/5d86N7Kk/86b1da78-5767-11f0-a60e-0242ac110002-jpg-hero_image.jpeg	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/86b1da78-5767-11f0-a60e-0242ac110002-jpg-hero_image.jpg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:29%20GMT	http://ecopak-8q1k-staging.b12sites.com/leaf-and-wooden-plates-and-bowls	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/leaf-and-wooden-plates-and-bowls	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:31	90227/90227	---M--	200	added ('OK')	image/jpeg	etag:%22273aa9d0ba44e6cddb0bfef60ab5f281%22	https://cdn.b12.io/client_media/5d86N7Kk/86c85276-5767-11f0-a60e-0242ac110002-jpg-regular_image.jpeg	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/86c85276-5767-11f0-a60e-0242ac110002-jpg-regular_image.jpg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:33	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:31%20GMT	http://ecopak-8q1k-staging.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.js	C:/My%20Web%20Sites/parimal/ecopak-8q1k-staging.b12sites.com/assets/bundle-26df06bbde665912c7803cd668f15047.js	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jul%202025%2018:07:32%20GMT	http://cdn.b12.io/prod_traffic/global.js	C:/My%20Web%20Sites/parimal/cdn.b12.io/prod_traffic/global.2a.delayed	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:34	98913/98913	---M--	200	added ('OK')	image/jpeg	etag:%22405c764ee768c4d1b23e0de085bec5ac%22	https://cdn.b12.io/client_media/5d86N7Kk/74a4748c-576a-11f0-b33f-0242ac110002-jpg-regular_image.jpeg	C:/My%20Web%20Sites/parimal/cdn.b12.io/client_media/5d86N7Kk/74a4748c-576a-11f0-b33f-0242ac110002-jpg-regular_image.jpg	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:35	71295/71295	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ca4809d57257e2816c1aa0a50fc8dea%22	https://cdn.b12.io/prod_traffic/global.js	C:/My%20Web%20Sites/parimal/cdn.b12.io/prod_traffic/global.js	(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:36	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2002%20Jul%202025%2018:07:35%20GMT	http://ecopak-8q1k-staging.b12sites.com/robots.txt		(from https://ecopak-8q1k-staging.b12sites.com/index)
20:07:36	1051/1051	---MC-	200	added ('OK')	text/javascript	date:Wed,%2002%20Jul%202025%2018:07:34%20GMT	https://www.google.com/recaptcha/api.js?render=6Ld1R8kUAAAAAGEYGyd1RXFcdSGY03uF4y_yN40A	C:/My%20Web%20Sites/parimal/www.google.com/recaptcha/apifb47.js	(from https://ecopak-8q1k-staging.b12sites.com/index)
